vendor_id,per_plate_base,price_factor,is_veg_only,is_halal,total_items,item_prices,basic_package,standard_package,premium_package,min_order_guests,max_order_guests,tasting_available,home_delivery,home_delivery_min_plates,advance_order_days,cuisine_type,suitable_for_religions
V14,280,0.91,False,True,12,"{""Korma"": 91, ""Veg Kurma"": 40, ""Biryani"": 118, ""Roti"": 9, ""Paratha"": 18, ""Chicken Biryani"": 109, ""Mutton Curry"": 91, ""Pulao"": 45, ""Seviyan"": 27, ""Mutton Soup"": 36, ""Soft Drinks"": 22, ""Papad"": 5}","{""items"": [""Papad"", ""Roti"", ""Paratha"", ""Soft Drinks"", ""Seviyan"", ""Mutton Soup""], ""per_plate"": 280, ""description"": ""Basic - 6 items""}","{""items"": [""Papad"", ""Roti"", ""Paratha"", ""Soft Drinks"", ""Seviyan"", ""Mutton Soup"", ""Veg Kurma"", ""Pulao"", ""Korma"", ""Mutton Curry""], ""per_plate"": 350, ""description"": ""Standard - 10 items""}","{""items"": [""Korma"", ""Veg Kurma"", ""Biryani"", ""Roti"", ""Paratha"", ""Chicken Biryani"", ""Mutton Curry"", ""Pulao"", ""Seviyan"", ""Mutton Soup"", ""Soft Drinks"", ""Papad""], ""per_plate"": 420, ""description"": ""Full spread - 12 items""}",20,150,False,False,0,3,Halal,Muslim
V26,260,0.91,False,False,12,"{""Rasgulla"": 22, ""Soft Drinks"": 22, ""Pulao"": 45, ""Idli"": 13, ""Mutton Curry"": 91, ""Chicken Curry"": 72, ""Double Ka Meetha"": 31, ""Vada"": 13, ""Veg Biryani"": 72, ""Papad"": 5, ""Payasam"": 22, ""Mutton Biryani"": 136}","{""items"": [""Papad"", ""Idli"", ""Vada"", ""Rasgulla"", ""Soft Drinks"", ""Payasam""], ""per_plate"": 260, ""description"": ""Basic - 6 items""}","{""items"": [""Papad"", ""Idli"", ""Vada"", ""Rasgulla"", ""Soft Drinks"", ""Payasam"", ""Double Ka Meetha"", ""Pulao"", ""Chicken Curry"", ""Veg Biryani""], ""per_plate"": 325, ""description"": ""Standard - 10 items""}","{""items"": [""Rasgulla"", ""Soft Drinks"", ""Pulao"", ""Idli"", ""Mutton Curry"", ""Chicken Curry"", ""Double Ka Meetha"", ""Vada"", ""Veg Biryani"", ""Papad"", ""Payasam"", ""Mutton Biryani""], ""per_plate"": 390, ""description"": ""Full spread - 12 items""}",20,150,False,False,0,3,Multi-cuisine,all
V27,620,1.45,False,True,25,"{""Sheer Khurma"": 58, ""Mutton Curry"": 145, ""Tomato Soup"": 36, ""Gobi Manchurian"": 36, ""Soft Drinks"": 36, ""Pickle"": 7, ""Gulab Jamun"": 43, ""Mutton Kebab"": 116, ""Raita"": 21, ""Seekh Kebab"": 101, ""Naan"": 21, ""Chicken Curry"": 116, ""Biryani"": 188, ""Soup"": 36, ""Veg Kurma"": 65, ""Roti"": 14, ""Pulao"": 72, ""Sherbet"": 36, ""Papad"": 7, ""Mutton Soup"": 58, ""Shaami Kebab"": 87, ""Juice"": 43, ""Chicken 65"": 87, ""Phirni"": 50, ""Dal Tadka"": 50}","{""items"": [""Pickle"", ""Papad"", ""Roti"", ""Raita"", ""Naan"", ""Tomato Soup"", ""Gobi Manchurian"", ""Soft Drinks""], ""per_plate"": 620, ""description"": ""Basic - 8 items""}","{""items"": [""Pickle"", ""Papad"", ""Roti"", ""Raita"", ""Naan"", ""Tomato Soup"", ""Gobi Manchurian"", ""Soft Drinks"", ""Soup"", ""Sherbet"", ""Gulab Jamun"", ""Juice"", ""Phirni"", ""Dal Tadka"", ""Sheer Khurma"", ""Mutton Soup""], ""per_plate"": 775, ""description"": ""Standard - 16 items""}","{""items"": [""Sheer Khurma"", ""Mutton Curry"", ""Tomato Soup"", ""Gobi Manchurian"", ""Soft Drinks"", ""Pickle"", ""Gulab Jamun"", ""Mutton Kebab"", ""Raita"", ""Seekh Kebab"", ""Naan"", ""Chicken Curry"", ""Biryani"", ""Soup"", ""Veg Kurma"", ""Roti"", ""Pulao"", ""Sherbet"", ""Papad"", ""Mutton Soup"", ""Shaami Kebab"", ""Juice"", ""Chicken 65"", ""Phirni"", ""Dal Tadka""], ""per_plate"": 930, ""description"": ""Full spread - 25 items""}",20,1500,True,False,0,7,Halal,Muslim
V41,300,1.15,False,False,18,"{""Soup"": 28, ""Gulab Jamun"": 34, ""Mutton Biryani"": 172, ""Sambar"": 17, ""Payasam"": 28, ""Vada"": 17, ""Spring Rolls"": 28, ""Baby Corn Fry"": 28, ""Cutlet"": 23, ""Chicken Biryani"": 138, ""Pickle"": 5, ""Tomato Soup"": 28, ""Starter Veg"": 23, ""Sweet Corn Soup"": 34, ""Kesari"": 23, ""Veg Biryani"": 92, ""Dal Fry"": 40, ""Pakoda"": 17}","{""items"": [""Pickle"", ""Sambar"", ""Vada"", ""Pakoda"", ""Cutlet"", ""Starter Veg""], ""per_plate"": 300, ""description"": ""Basic - 6 items""}","{""items"": [""Pickle"", ""Sambar"", ""Vada"", ""Pakoda"", ""Cutlet"", ""Starter Veg"", ""Kesari"", ""Soup"", ""Payasam"", ""Spring Rolls"", ""Baby Corn Fry"", ""Tomato Soup""], ""per_plate"": 375, ""description"": ""Standard - 12 items""}","{""items"": [""Soup"", ""Gulab Jamun"", ""Mutton Biryani"", ""Sambar"", ""Payasam"", ""Vada"", ""Spring Rolls"", ""Baby Corn Fry"", ""Cutlet"", ""Chicken Biryani"", ""Pickle"", ""Tomato Soup"", ""Starter Veg"", ""Sweet Corn Soup"", ""Kesari"", ""Veg Biryani"", ""Dal Fry"", ""Pakoda""], ""per_plate"": 450, ""description"": ""Full spread - 18 items""}",20,300,True,False,0,7,Multi-cuisine,all
V58,380,1.08,True,False,18,"{""Fried Rice"": 64, ""Halwa"": 21, ""Sambar"": 16, ""Naan"": 16, ""Paneer Tikka"": 43, ""Cake"": 59, ""Butter Naan"": 21, ""Lassi"": 37, ""Paneer Butter Masala"": 64, ""Kesari"": 21, ""Vada"": 16, ""Upma"": 16, ""Papad"": 5, ""Soft Drinks"": 27, ""Pesarattu"": 21, ""Payasam"": 27, ""Pickle"": 5, ""Juice"": 32}","{""items"": [""Papad"", ""Pickle"", ""Sambar"", ""Naan"", ""Vada"", ""Upma""], ""per_plate"": 380, ""description"": ""Basic - 6 items""}","{""items"": [""Papad"", ""Pickle"", ""Sambar"", ""Naan"", ""Vada"", ""Upma"", ""Halwa"", ""Butter Naan"", ""Kesari"", ""Pesarattu"", ""Soft Drinks"", ""Payasam""], ""per_plate"": 475, ""description"": ""Standard - 12 items""}","{""items"": [""Fried Rice"", ""Halwa"", ""Sambar"", ""Naan"", ""Paneer Tikka"", ""Cake"", ""Butter Naan"", ""Lassi"", ""Paneer Butter Masala"", ""Kesari"", ""Vada"", ""Upma"", ""Papad"", ""Soft Drinks"", ""Pesarattu"", ""Payasam"", ""Pickle"", ""Juice""], ""per_plate"": 570, ""description"": ""Full spread - 18 items""}",20,800,True,False,0,7,Pure Veg,Hindu
V59,420,1.14,False,False,18,"{""Pesarattu"": 22, ""Cake"": 62, ""Veg Biryani"": 91, ""Gulab Jamun"": 34, ""Tomato Soup"": 28, ""Baby Corn Fry"": 28, ""Starter NonVeg"": 51, ""Fruit Salad"": 34, ""Vada"": 17, ""Dal Tadka"": 39, ""Mutton Biryani"": 170, ""Double Ka Meetha"": 39, ""Upma"": 17, ""Brownie"": 51, ""Pulao"": 56, ""Lassi"": 39, ""Paneer Butter Masala"": 68, ""Salad"": 17}","{""items"": [""Vada"", ""Upma"", ""Salad"", ""Pesarattu"", ""Tomato Soup"", ""Baby Corn Fry""], ""per_plate"": 420, ""description"": ""Basic - 6 items""}","{""items"": [""Vada"", ""Upma"", ""Salad"", ""Pesarattu"", ""Tomato Soup"", ""Baby Corn Fry"", ""Gulab Jamun"", ""Fruit Salad"", ""Dal Tadka"", ""Double Ka Meetha"", ""Lassi"", ""Starter NonVeg""], ""per_plate"": 525, ""description"": ""Standard - 12 items""}","{""items"": [""Pesarattu"", ""Cake"", ""Veg Biryani"", ""Gulab Jamun"", ""Tomato Soup"", ""Baby Corn Fry"", ""Starter NonVeg"", ""Fruit Salad"", ""Vada"", ""Dal Tadka"", ""Mutton Biryani"", ""Double Ka Meetha"", ""Upma"", ""Brownie"", ""Pulao"", ""Lassi"", ""Paneer Butter Masala"", ""Salad""], ""per_plate"": 630, ""description"": ""Full spread - 18 items""}",20,800,True,False,0,7,Multi-cuisine,all
V65,680,1.44,False,True,25,"{""Pulao"": 72, ""Mutton Biryani"": 216, ""Phirni"": 50, ""Biryani"": 187, ""Chicken 65"": 86, ""Soup"": 36, ""Salad"": 21, ""Seekh Kebab"": 100, ""Chicken Tikka"": 79, ""Sheer Khurma"": 57, ""Chicken Curry"": 115, ""Korma"": 144, ""Sherbet"": 36, ""Nihari"": 158, ""Halwa"": 28, ""Gulab Jamun"": 43, ""Juice"": 43, ""Seviyan"": 43, ""Naan"": 21, ""Dal Tadka"": 50, ""Raita"": 21, ""Mutton Kebab"": 115, ""Mutton Curry"": 144, ""Shaami Kebab"": 86, ""Lassi"": 50}","{""items"": [""Salad"", ""Naan"", ""Raita"", ""Halwa"", ""Soup"", ""Sherbet"", ""Gulab Jamun"", ""Juice""], ""per_plate"": 680, ""description"": ""Basic - 8 items""}","{""items"": [""Salad"", ""Naan"", ""Raita"", ""Halwa"", ""Soup"", ""Sherbet"", ""Gulab Jamun"", ""Juice"", ""Seviyan"", ""Phirni"", ""Dal Tadka"", ""Lassi"", ""Sheer Khurma"", ""Pulao"", ""Chicken Tikka"", ""Chicken 65""], ""per_plate"": 850, ""description"": ""Standard - 16 items""}","{""items"": [""Pulao"", ""Mutton Biryani"", ""Phirni"", ""Biryani"", ""Chicken 65"", ""Soup"", ""Salad"", ""Seekh Kebab"", ""Chicken Tikka"", ""Sheer Khurma"", ""Chicken Curry"", ""Korma"", ""Sherbet"", ""Nihari"", ""Halwa"", ""Gulab Jamun"", ""Juice"", ""Seviyan"", ""Naan"", ""Dal Tadka"", ""Raita"", ""Mutton Kebab"", ""Mutton Curry"", ""Shaami Kebab"", ""Lassi""], ""per_plate"": 1020, ""description"": ""Full spread - 25 items""}",20,2000,True,False,0,7,Halal,Muslim
V75,320,1.14,False,False,18,"{""Fish Fry"": 102, ""Pesarattu"": 22, ""Soup"": 28, ""Curd Rice"": 34, ""Dal Fry"": 39, ""Kesari"": 22, ""Idli"": 17, ""Fruit Salad"": 34, ""Dosa"": 28, ""Starter NonVeg"": 51, ""Paneer Butter Masala"": 68, ""Pulao"": 56, ""Roti"": 11, ""Chicken Curry"": 91, ""Dal Tadka"": 39, ""Vada"": 17, ""Starter Veg"": 22, ""Gulab Jamun"": 34}","{""items"": [""Roti"", ""Idli"", ""Vada"", ""Pesarattu"", ""Kesari"", ""Starter Veg""], ""per_plate"": 320, ""description"": ""Basic - 6 items""}","{""items"": [""Roti"", ""Idli"", ""Vada"", ""Pesarattu"", ""Kesari"", ""Starter Veg"", ""Soup"", ""Dosa"", ""Curd Rice"", ""Fruit Salad"", ""Gulab Jamun"", ""Dal Fry""], ""per_plate"": 400, ""description"": ""Standard - 12 items""}","{""items"": [""Fish Fry"", ""Pesarattu"", ""Soup"", ""Curd Rice"", ""Dal Fry"", ""Kesari"", ""Idli"", ""Fruit Salad"", ""Dosa"", ""Starter NonVeg"", ""Paneer Butter Masala"", ""Pulao"", ""Roti"", ""Chicken Curry"", ""Dal Tadka"", ""Vada"", ""Starter Veg"", ""Gulab Jamun""], ""per_plate"": 480, ""description"": ""Full spread - 18 items""}",20,500,True,False,0,7,Multi-cuisine,all
V85,310,1.08,False,False,18,"{""Naan"": 16, ""Chicken Tikka"": 59, ""Sambar"": 16, ""Dal Tadka"": 37, ""Double Ka Meetha"": 37, ""Paneer Butter Masala"": 64, ""Pickle"": 5, ""Juice"": 32, ""Gobi Manchurian"": 27, ""Upma"": 16, ""Sweet Corn Soup"": 32, ""Idli"": 16, ""Tomato Soup"": 27, ""Rasgulla"": 27, ""Chicken Biryani"": 129, ""Payasam"": 27, ""Chicken Curry"": 86, ""Soup"": 27}","{""items"": [""Pickle"", ""Naan"", ""Sambar"", ""Upma"", ""Idli"", ""Gobi Manchurian""], ""per_plate"": 310, ""description"": ""Basic - 6 items""}","{""items"": [""Pickle"", ""Naan"", ""Sambar"", ""Upma"", ""Idli"", ""Gobi Manchurian"", ""Tomato Soup"", ""Rasgulla"", ""Payasam"", ""Soup"", ""Juice"", ""Sweet Corn Soup""], ""per_plate"": 387, ""description"": ""Standard - 12 items""}","{""items"": [""Naan"", ""Chicken Tikka"", ""Sambar"", ""Dal Tadka"", ""Double Ka Meetha"", ""Paneer Butter Masala"", ""Pickle"", ""Juice"", ""Gobi Manchurian"", ""Upma"", ""Sweet Corn Soup"", ""Idli"", ""Tomato Soup"", ""Rasgulla"", ""Chicken Biryani"", ""Payasam"", ""Chicken Curry"", ""Soup""], ""per_plate"": 465, ""description"": ""Full spread - 18 items""}",20,500,True,False,0,7,Multi-cuisine,all
V94,280,0.88,False,False,14,"{""Kaju Curry"": 61, ""Fried Rice"": 52, ""Veg Kurma"": 39, ""Pakoda"": 13, ""Payasam"": 22, ""Vada"": 13, ""Ice Cream"": 35, ""Dal Tadka"": 30, ""Dosa"": 22, ""Pesarattu"": 17, ""Cake"": 48, ""Chicken Biryani"": 105, ""Chicken Tikka"": 48, ""Starter NonVeg"": 39}","{""items"": [""Pakoda"", ""Vada"", ""Pesarattu"", ""Payasam"", ""Dosa"", ""Dal Tadka""], ""per_plate"": 280, ""description"": ""Basic - 6 items""}","{""items"": [""Pakoda"", ""Vada"", ""Pesarattu"", ""Payasam"", ""Dosa"", ""Dal Tadka"", ""Ice Cream"", ""Veg Kurma"", ""Starter NonVeg"", ""Cake""], ""per_plate"": 350, ""description"": ""Standard - 10 items""}","{""items"": [""Kaju Curry"", ""Fried Rice"", ""Veg Kurma"", ""Pakoda"", ""Payasam"", ""Vada"", ""Ice Cream"", ""Dal Tadka"", ""Dosa"", ""Pesarattu"", ""Cake"", ""Chicken Biryani"", ""Chicken Tikka"", ""Starter NonVeg""], ""per_plate"": 420, ""description"": ""Full spread - 14 items""}",20,100,False,False,0,3,Multi-cuisine,all
