vendor_id,vendor_name,category,city,area,capacity,capacity_unit,base_price,class_type,specialization,religion_served,supported_events,rating,is_veg_only,is_halal,outdoor_available,generator_backup,parking_capacity,min_guests,max_guests,setup_time_hours,languages_spoken,payment_modes,experience_years,vendor_phone,surge_applicable,last_minute_slots,advance_payment_pct,free_cancel_before_days,partial_cancel_days,partial_cancel_fee_pct,last_minute_cancel_days,last_minute_cancel_fee_pct,min_advance_booking_days,recommended_advance_booking_days,cancellation_policy,category_details
V1,Mangala Vadyam Group,Band / Nadaswaram,Mahbubnagar,Nagarkurnool,8,band_members,8300,budget,hindu_ceremonies,Hindu,"[""Wedding"", ""Gruhapravesam"", ""Thread Ceremony (Upanayanam)"", ""Puberty Ceremony"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""21st Day (Naamakaranam)"", ""Cradle Ceremony"", ""Engagement"", ""Reception""]",4.4,,,,,,30.0,300.0,1,"[""Telugu""]","[""UPI"", ""Cash""]",19,+91-9212470521,True,False,20,7,3,30,1,60,3,14,Advance: 20% of total. Free cancel >7d before. 30% charge 1–7d before. 60% charge within 1d.,"{""members_count"": 8, ""instruments"": [""Nadaswaram"", ""Thavil"", ""Kombu"", ""Ottu""], ""uniform_provided"": false, ""procession_available"": true, ""elephant_coordinated"": false}"
V2,DJ Yuva,DJ,Hyderabad,Madhapur,1500,max_audience,107000,premium,receptions,all,"[""21st Day (Naamakaranam)"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""Alumni Meet"", ""Anniversary"", ""Aqiqah (Birth Ceremony)"", ""Award Ceremony"", ""Baby Shower"", ""Baby Shower (Namakaranam)"", ""Baptism"", ""Birthday"", ""Carol Singing Night"", ""Christening"", ""Christmas Party"", ""Church Wedding"", ""Circumcision (Bismillah)"", ""Corporate Event"", ""Cradle Ceremony"", ""Cultural Program"", ""Easter Celebration"", ""Eid Celebration"", ""Engagement"", ""Farewell Party"", ""First Communion"", ""Gruhapravesam"", ""Iftar Party"", ""Kids Birthday Party"", ""Mangni (Engagement)"", ""Nikah (Wedding)"", ""Office Party"", ""Product Launch"", ""Puberty Ceremony"", ""Reception"", ""Retirement Party"", ""Sports Day"", ""Thread Ceremony (Upanayanam)"", ""Walima (Reception)"", ""Wedding""]",3.6,,,,,,200.0,1500.0,3,"[""Telugu"", ""Hindi""]","[""UPI"", ""Cash"", ""Bank Transfer"", ""Card""]",14,+91-9444379007,True,False,40,21,10,60,5,90,14,45,Advance: 40% of total. Free cancel >21d before. 60% charge 5–21d before. 90% charge within 5d.,"{""speakers_watts"": ""8x2000W line array"", ""lighting"": ""full LED show + fog + laser"", ""mic_included"": true, ""emcee_available"": true, ""dhol_player_extra"": false, ""led_wall"": true}"
V3,Vasavi Utensil Services,Catering Equipment Rental,Jagtial,Pegadapalli,100,plates_capacity,6000,budget,all_events,all,"[""21st Day (Naamakaranam)"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""Alumni Meet"", ""Anniversary"", ""Aqiqah (Birth Ceremony)"", ""Award Ceremony"", ""Baby Shower"", ""Baby Shower (Namakaranam)"", ""Baptism"", ""Birthday"", ""Carol Singing Night"", ""Christening"", ""Christmas Party"", ""Church Wedding"", ""Circumcision (Bismillah)"", ""Corporate Event"", ""Cradle Ceremony"", ""Cultural Program"", ""Easter Celebration"", ""Eid Celebration"", ""Engagement"", ""Farewell Party"", ""First Communion"", ""Gruhapravesam"", ""Iftar Party"", ""Kids Birthday Party"", ""Mangni (Engagement)"", ""Nikah (Wedding)"", ""Office Party"", ""Product Launch"", ""Puberty Ceremony"", ""Reception"", ""Retirement Party"", ""Sports Day"", ""Thread Ceremony (Upanayanam)"", ""Walima (Reception)"", ""Wedding""]",4.8,,,,,,20.0,100.0,3,"[""Telugu""]","[""UPI"", ""Cash""]",6,+91-9629459336,True,True,10,3,1,20,0,40,1,5,Advance: 10% of total. Free cancel >3d before. 20% charge 0–3d before. 40% charge within 0d.,"{""utensils_included"": true, ""gas_cylinders"": false, ""chafing_dishes"": false, ""delivery_included"": false, ""wash_and_return"": true}"
V4,Madhavi Flower Decorations,Decoration,Karimnagar,Ramnagar,5000,sqft_coverage,108000,mid,all_events,all,"[""21st Day (Naamakaranam)"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""Alumni Meet"", ""Anniversary"", ""Aqiqah (Birth Ceremony)"", ""Award Ceremony"", ""Baby Shower"", ""Baby Shower (Namakaranam)"", ""Baptism"", ""Birthday"", ""Carol Singing Night"", ""Christening"", ""Christmas Party"", ""Church Wedding"", ""Circumcision (Bismillah)"", ""Corporate Event"", ""Cradle Ceremony"", ""Cultural Program"", ""Easter Celebration"", ""Eid Celebration"", ""Engagement"", ""Farewell Party"", ""First Communion"", ""Gruhapravesam"", ""Iftar Party"", ""Kids Birthday Party"", ""Mangni (Engagement)"", ""Nikah (Wedding)"", ""Office Party"", ""Product Launch"", ""Puberty Ceremony"", ""Reception"", ""Retirement Party"", ""Sports Day"", ""Thread Ceremony (Upanayanam)"", ""Walima (Reception)"", ""Wedding""]",3.7,,,False,,,,,5,"[""Telugu"", ""Hindi""]","[""UPI"", ""Cash"", ""Bank Transfer""]",4,+91-9156070727,True,False,30,14,7,50,3,80,7,30,Advance: 30% of total. Free cancel >14d before. 50% charge 3–14d before. 80% charge within 3d.,"{""hindu_mandap"": true, ""christian_arch"": true, ""muslim_floral_arch"": true, ""balloon_decor"": true, ""stage_backdrop"": true, ""aisle_runner"": true, ""flower_wall"": true, ""entrance_decor"": true, ""table_centerpieces"": true, ""photo_booth"": true, ""led_lighting"": true, ""fabric_draping"": true, ""waterfall_lighting"": false, ""fresh_flowers_only"": false, ""artificial_allowed"": true, ""theme_decor"": true, ""team_size"": 12, ""advance_material_days"": 2, ""owns_furniture"": false}"
V5,Swapna Decor & Events,Decoration,Villages,Jadcherla,3000,sqft_coverage,136000,mid,all_events,all,"[""21st Day (Naamakaranam)"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""Alumni Meet"", ""Anniversary"", ""Aqiqah (Birth Ceremony)"", ""Award Ceremony"", ""Baby Shower"", ""Baby Shower (Namakaranam)"", ""Baptism"", ""Birthday"", ""Carol Singing Night"", ""Christening"", ""Christmas Party"", ""Church Wedding"", ""Circumcision (Bismillah)"", ""Corporate Event"", ""Cradle Ceremony"", ""Cultural Program"", ""Easter Celebration"", ""Eid Celebration"", ""Engagement"", ""Farewell Party"", ""First Communion"", ""Gruhapravesam"", ""Iftar Party"", ""Kids Birthday Party"", ""Mangni (Engagement)"", ""Nikah (Wedding)"", ""Office Party"", ""Product Launch"", ""Puberty Ceremony"", ""Reception"", ""Retirement Party"", ""Sports Day"", ""Thread Ceremony (Upanayanam)"", ""Walima (Reception)"", ""Wedding""]",4.3,,,False,,,,,5,"[""Telugu""]","[""UPI"", ""Cash"", ""Bank Transfer""]",16,+91-9560766926,True,True,30,14,7,50,3,80,7,30,Advance: 30% of total. Free cancel >14d before. 50% charge 3–14d before. 80% charge within 3d.,"{""hindu_mandap"": true, ""christian_arch"": true, ""muslim_floral_arch"": true, ""balloon_decor"": true, ""stage_backdrop"": true, ""aisle_runner"": true, ""flower_wall"": true, ""entrance_decor"": true, ""table_centerpieces"": true, ""photo_booth"": true, ""led_lighting"": true, ""fabric_draping"": true, ""waterfall_lighting"": false, ""fresh_flowers_only"": false, ""artificial_allowed"": true, ""theme_decor"": true, ""team_size"": 10, ""advance_material_days"": 2, ""owns_furniture"": false}"
V6,DJ Shiva,DJ,Villages,Vikarabad,300,max_audience,47000,mid,birthdays,all,"[""21st Day (Naamakaranam)"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""Alumni Meet"", ""Anniversary"", ""Aqiqah (Birth Ceremony)"", ""Award Ceremony"", ""Baby Shower"", ""Baby Shower (Namakaranam)"", ""Baptism"", ""Birthday"", ""Carol Singing Night"", ""Christening"", ""Christmas Party"", ""Church Wedding"", ""Circumcision (Bismillah)"", ""Corporate Event"", ""Cradle Ceremony"", ""Cultural Program"", ""Easter Celebration"", ""Eid Celebration"", ""Engagement"", ""Farewell Party"", ""First Communion"", ""Gruhapravesam"", ""Iftar Party"", ""Kids Birthday Party"", ""Mangni (Engagement)"", ""Nikah (Wedding)"", ""Office Party"", ""Product Launch"", ""Puberty Ceremony"", ""Reception"", ""Retirement Party"", ""Sports Day"", ""Thread Ceremony (Upanayanam)"", ""Walima (Reception)"", ""Wedding""]",3.6,,,,,,100.0,300.0,3,"[""Telugu"", ""Hindi""]","[""UPI"", ""Cash"", ""Bank Transfer""]",7,+91-9134459575,True,True,25,10,5,40,2,70,5,21,Advance: 25% of total. Free cancel >10d before. 40% charge 2–10d before. 70% charge within 2d.,"{""speakers_watts"": ""4x1000W"", ""lighting"": ""moving heads + LED"", ""mic_included"": true, ""emcee_available"": true, ""dhol_player_extra"": true, ""led_wall"": false}"
V7,Rangareddy Mahal,Function Hall,Hyderabad,Kukatpally,150,guests,45000,budget,Hindu_name,all,"[""21st Day (Naamakaranam)"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""Alumni Meet"", ""Anniversary"", ""Aqiqah (Birth Ceremony)"", ""Award Ceremony"", ""Baby Shower"", ""Baby Shower (Namakaranam)"", ""Baptism"", ""Birthday"", ""Carol Singing Night"", ""Christening"", ""Christmas Party"", ""Church Wedding"", ""Circumcision (Bismillah)"", ""Corporate Event"", ""Cradle Ceremony"", ""Cultural Program"", ""Easter Celebration"", ""Eid Celebration"", ""Engagement"", ""Farewell Party"", ""First Communion"", ""Gruhapravesam"", ""Iftar Party"", ""Kids Birthday Party"", ""Mangni (Engagement)"", ""Nikah (Wedding)"", ""Office Party"", ""Product Launch"", ""Puberty Ceremony"", ""Reception"", ""Retirement Party"", ""Sports Day"", ""Thread Ceremony (Upanayanam)"", ""Walima (Reception)"", ""Wedding""]",4.6,,,False,True,37.0,45.0,150.0,3,"[""Telugu"", ""Hindi""]","[""UPI"", ""Cash""]",10,+91-9819111296,True,True,25,10,5,40,2,75,5,21,Advance: 25% of total. Free cancel >10d before. 40% charge 2–10d before. 75% charge within 2d.,"{""ac_available"": false, ""stage_included"": false, ""audio_system"": false, ""bridal_room"": false, ""catering_inhouse"": true, ""outside_catering_allowed"": false, ""valet_parking"": false, ""rooms_available"": 0, ""generator_backup"": true, ""parking_slots"": 37, ""veg_only_kitchen"": false, ""pooja_room"": false, ""alcohol_allowed"": false, ""caste_restrictions"": false, ""capacity_seated"": 150, ""capacity_standing"": 195, ""dance_floor"": false, ""projector_screen"": false}"
V8,Zara Beauty Studio,Makeup Artist,Rangareddy,Ibrahimpatnam,6,persons_per_day,8200,mid,all_events,all,"[""21st Day (Naamakaranam)"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""Alumni Meet"", ""Anniversary"", ""Aqiqah (Birth Ceremony)"", ""Award Ceremony"", ""Baby Shower"", ""Baby Shower (Namakaranam)"", ""Baptism"", ""Birthday"", ""Carol Singing Night"", ""Christening"", ""Christmas Party"", ""Church Wedding"", ""Circumcision (Bismillah)"", ""Corporate Event"", ""Cradle Ceremony"", ""Cultural Program"", ""Easter Celebration"", ""Eid Celebration"", ""Engagement"", ""Farewell Party"", ""First Communion"", ""Gruhapravesam"", ""Iftar Party"", ""Kids Birthday Party"", ""Mangni (Engagement)"", ""Nikah (Wedding)"", ""Office Party"", ""Product Launch"", ""Puberty Ceremony"", ""Reception"", ""Retirement Party"", ""Sports Day"", ""Thread Ceremony (Upanayanam)"", ""Walima (Reception)"", ""Wedding""]",4.4,,,,,,,,2,"[""Telugu""]","[""UPI"", ""Cash"", ""Bank Transfer""]",7,+91-9590122046,False,False,40,14,7,60,3,90,7,21,Advance: 40% of total. Free cancel >14d before. 60% charge 3–14d before. 90% charge within 3d.,"{""bridal_specialist"": true, ""airbrush_makeup"": false, ""saree_draping"": true, ""hijab_styling"": true, ""trial_session"": true, ""home_visit"": true, ""products_used"": ""MAC, Kryolan, NARS"", ""pre_bridal_package"": true, ""hair_styling"": true, ""hair_extensions"": false, ""christian_veil_styling"": true, ""mehendi_coordination"": true, ""persons_per_day"": 6, ""earliest_start_time"": ""05:00""}"
V9,Warangal Cinematic,Videographer,Hyderabad,LB Nagar,1,events_per_month,11000,budget,birthdays,all,"[""21st Day (Naamakaranam)"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""Alumni Meet"", ""Anniversary"", ""Aqiqah (Birth Ceremony)"", ""Award Ceremony"", ""Baby Shower"", ""Baby Shower (Namakaranam)"", ""Baptism"", ""Birthday"", ""Carol Singing Night"", ""Christening"", ""Christmas Party"", ""Church Wedding"", ""Circumcision (Bismillah)"", ""Corporate Event"", ""Cradle Ceremony"", ""Cultural Program"", ""Easter Celebration"", ""Eid Celebration"", ""Engagement"", ""Farewell Party"", ""First Communion"", ""Gruhapravesam"", ""Iftar Party"", ""Kids Birthday Party"", ""Mangni (Engagement)"", ""Nikah (Wedding)"", ""Office Party"", ""Product Launch"", ""Puberty Ceremony"", ""Reception"", ""Retirement Party"", ""Sports Day"", ""Thread Ceremony (Upanayanam)"", ""Walima (Reception)"", ""Wedding""]",4.7,,,,,,,,1,"[""Telugu""]","[""UPI"", ""Cash""]",13,+91-9450094189,False,True,20,7,3,30,1,60,3,14,Advance: 20% of total. Free cancel >7d before. 30% charge 1–7d before. 60% charge within 1d.,"{""4k_available"": false, ""drone_video"": false, ""highlight_reel"": false, ""same_day_edit"": false, ""live_streaming"": false, ""delivery_days"": 45}"
V10,DJ Naveen,DJ,Karimnagar,Ramnagar,300,max_audience,40000,mid,birthdays,all,"[""21st Day (Naamakaranam)"", ""60th Birthday (Sashtipoorthi)"", ""80th Birthday (Sadabhishekam)"", ""Alumni Meet"", ""Anniversary"", ""Aqiqah (Birth Ceremony)"", ""Award Ceremony"", ""Baby Shower"", ""Baby Shower (Namakaranam)"", ""Baptism"", ""Birthday"", ""Carol Singing Night"", ""Christening"", ""Christmas Party"", ""Church Wedding"", ""Circumcision (Bismillah)"", ""Corporate Event"", ""Cradle Ceremony"", ""Cultural Program"", ""Easter Celebration"", ""Eid Celebration"", ""Engagement"", ""Farewell Party"", ""First Communion"", ""Gruhapravesam"", ""Iftar Party"", ""Kids Birthday Party"", ""Mangni (Engagement)"", ""Nikah (Wedding)"", ""Office Party"", ""Product Launch"", ""Puberty Ceremony"", ""Reception"", ""Retirement Party"", ""Sports Day"", ""Thread Ceremony (Upanayanam)"", ""Walima (Reception)"", ""Wedding""]",4.9,,,,,,100.0,300.0,3,"[""Telugu""]","[""UPI"", ""Cash"", ""Bank Transfer""]",5,+91-9668998400,False,True,25,10,5,40,2,70,5,21,Advance: 25% of total. Free cancel >10d before. 40% charge 2–10d before. 70% charge within 2d.,"{""speakers_watts"": ""4x1000W"", ""lighting"": ""moving heads + LED"", ""mic_included"": true, ""emcee_available"": true, ""dhol_player_extra"": false, ""led_wall"": false}"
